TABELA: DB2DPR.TRM
TS....: S1DPR001
========================================================================
:Todos os termos Natureza
ANIMAL                        ANML |N
ANISTIA                       ANST |N
ANIVERSARIANTE                ANVS |N
ANIVERSARIO                   ANV  |N
ANO                           AA   |S <-- NATUREZA
ANORMAL                       ANRL |N
ANORMALIDADE                  ANDD |N
ANOTACAO                      ANOT |N
ANSI                          ANSI |N
ANTECEDENTE                        |N
ANTECIPACAO                   ATCC |N
ANTECIPACAO DE CREDITO LOJISTAACLJ |N
ANTECIPADO                    ATCD |N
ANTECIPAR                     ATPR |N
ANTERIOR                      ANT  |N
ANTES                              |N
ANTIETICO                     ANTC |N
ANUAL                         AAL  |N
ANUENIO                            |N
ANUIDADE                      ANUD |N
ANULACAO                           |N
ANUNCIO                       ANC  |N
APARENCIA                          |N
APELACAO                      APLO |N
APELADO                       APLA |N
APELIDO                       APDO |N
APERFEICOAMENTO               APF  |N
APLICABILIDADE                APLB |N
APLICACAO                     APL  |N
APLICADO                      APLD |N
APLICADOR                     APLR |N
APLICATIVO                         |N
APLICAVEL                     APLL |N
APLIC120                      A120 |N
APLIC30                       A30  |N
APOIAR                        APOR |N
APOIO                         APO  |N
APOLICE                       APLC |N
APOLICE AVULSA                APAV |N
APOS                               |N
APOSENTADO                    APND |N
APOSENTADORIA                 APN  |N
APOSENTAR                     APNR |N
APRECIADO                          |N
APRECIAR                           |N
APRENDIZ                      APDZ |N
APRESENTACAO                  APSC |N
APROPRIACAO                   APPC |N
APROPRIADO                    APPD |N
APROPRIAR                     APPR |N
APROVACAO                     APVC |N
APROVADO                      APVD |N
APROVADOR                     APVR |N
APROVAR                       APV  |N
APROVEITAMENTO                APVT |N
APROXIMADO                    APXD |N
APTO                          APTO |N
APURACAO                      APRC |N
APURACAO DE RESULTADO INTERNO APRI |N
APURADO                       APRD |N
APURADOR                      APRR |N
APURAR                        APUR |N
AQUISICAO                     AQS  |N
AQUISICAO DO GOVERNO FEDERAL  AGF  |N
ARBITRAGEM                    ABTG |N
AREA                          AREA |N
AREIA                         AREI |N
ARGUMENTO                     ARG  |N
ARMA                          ARM  |N
ARMAZEM                       AMZ  |N
ARMAZENADO                    AMZO |N
ARMAZENAMENTO                 AMZT |N
ARQUITETURA                   AQTT |N
ARQUITETURA DE REDE           AQTR |N
ARQUIVADO                     ARVD |N
ARQUIVAMENTO                  ARQV |N
ARQUIVAR                      ARQR |N
ARQUIVO                       ARQ  |N
ARRANJO PRODUTIVO             ARP  |N
ARRASTADO                     ARSD |N
ARRASTAR                      ARSR |N
ARRASTO                       ARS  |N
ARREAMENTO                    ARNT |N
ARRECADACAO                   ARC  |N
ARRECADADO                    ARCD |N
ARRECADADOR                   ARCO |N
ARRECADAR                     ARCR |N
ARREDONDAMENTO                ARDT |N
ARREMATADO                    ARTD |N
ARREMATANTE                        |N
ARREMATE                      ART  |N
ARRENDADOR                    ARRO |N
ARRENDAMENTO                  ARRD |N
ARRENDATARIO                  ARRT |N
ARROMBAMENTO                  ARB  |N
ARRUAMENTO                    ARMT |N
ARTICULACAO                   ATCO |N
ARTICULAR                     ATCR |N
ARTIGO                        ARTG |N
ASCENDENCIA                   ACDA |N
ASCII                         ASCI |N
ASPECTO                       APCT |N
ASSALTANTE                    ASLT |N
ASSALTO                       ASL  |N
ASSEGURADO                    ASGD |N
ASSEGURAR                     ASG  |N
ASSEMBLEIA                    ASSB |N
ASSEMBLER                     ASBR |N
ASSESSORIA                    ASSR |N
ASSIDUIDADE                   ASD  |N
ASSIDUO                       ASDO |N
ASSINAR                       ASNR |N
ASSINATURA                    ASS  |N
ASSISTENCIA                   AST  |N
ASSISTENCIA TECNICA           ATCN |N
ASSISTENCIA VINTE QUATRO HORA AVQH |N
ASSISTENCIAL                  ASTL |N
ASSOC NACIONAL BANCOS INVEST       |N
ASSOCIACAO                    ASC  |N
ASSOCIACAO ADVOGADOS DO BB    ASAB |N
ASSOCIACAO BOLSAS MERCADORIAS ABM  |N
ASSOCIADO                     ASCD |N
ASSOCIATIVISTA                ASCV |N
ASSUNTO                       ASNT |N
ATA                           ATA  |N
ATACADO                       ATAC |N
ATE                           ATE  |N
ATENDENTE                     ATD  |N
ATENDER                       ATDR |N
ATENDIDO                      ATDD |N
ATENDIMENTO                   ATDT |N
ATERRO                        ATRR |N
ATESTADO                           |N
ATINGIDO                      ATGD |N
ATINGIMENTO                   ATGT |N
ATINGIR                       ATGR |N
ATINGIVEL                     ATGL |N
ATITUDE                       ATTD |N
ATIVA                         ATV  |N
ATIVACAO                      ATVC |N
ATIVIDADE                     ATVD |N
ATIVO                         ATI  |N
ATIVO-OBJETO                  ATBJ |N
ATO                           ATO  |N
ATOR                          ATOR |N
ATRACADOURO                   ATRD |N
ATRASO                        ATR  |N
ATRATIVIDADE                       |N
ATRIBUICAO                    ATBC |N
ATRIBUIDO                     ATBD |N
ATRIBUIDOR                    ATBO |N
